,,P41,P42,P43,P44,P45,P46,Baro,T1,T2,T3
,,1,2,3,4,5,6,,,,
,,[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[in.hga],[°C],[°C],[°C]
6/8/2018,1:03:20 AM,22.575,13.026,22.433,21.977,18.242,16.574,28.851,28.823,28.934,28.513
6/8/2018,1:20:00 AM,22.586,12.929,22.438,21.916,18.14,16.544,28.845,28.745,28.871,28.567
6/8/2018,1:36:40 AM,22.539,12.846,22.378,21.901,18.079,16.47,28.845,28.65,28.692,28.399
6/8/2018,1:53:20 AM,22.522,12.778,22.335,21.841,18.054,16.375,28.857,28.532,28.66,28.264
6/8/2018,2:10:00 AM,22.491,12.698,22.337,21.824,17.99,16.316,28.863,28.667,28.758,28.277
6/8/2018,2:26:40 AM,22.48,12.614,22.337,21.81,17.946,16.288,28.872,28.702,28.79,28.412
6/8/2018,2:43:20 AM,22.493,12.564,22.325,21.815,17.913,16.223,28.871,29.1,29.19,28.78
6/8/2018,3:00:00 AM,22.487,12.514,22.327,21.819,17.884,16.189,28.885,29.115,29.217,28.859
6/8/2018,3:16:40 AM,22.471,12.418,22.32,21.799,17.803,16.116,28.889,29.434,29.519,29.13
6/8/2018,3:33:20 AM,22.451,12.355,22.307,21.78,17.819,16.093,28.894,29.672,29.765,29.482
6/8/2018,3:50:00 AM,22.436,12.277,22.285,21.739,17.741,16.034,28.895,29.594,29.668,29.537
6/8/2018,4:06:40 AM,22.395,12.17,22.242,21.685,17.666,15.918,28.899,29.233,29.301,29.027
6/8/2018,4:23:20 AM,22.356,12.093,22.232,21.678,17.614,15.873,28.898,29.073,29.157,28.731
6/8/2018,4:40:00 AM,22.354,12.035,22.217,21.664,17.572,15.831,28.897,29.179,29.275,28.897
6/8/2018,4:56:40 AM,22.328,11.931,22.151,21.641,17.514,15.786,28.894,29.213,29.259,28.911
6/8/2018,5:13:20 AM,22.323,11.847,22.14,21.597,17.479,15.724,28.892,29.066,29.127,28.778
6/8/2018,5:30:00 AM,22.288,11.79,22.14,21.592,17.432,15.638,28.887,29.063,29.112,28.739
